path,text,utterance_id
/home/sashreekkumar/Documents/environment/humanai/dataset/nonnative-f-mic2-152-42-66-3.3-djg6693/s204.wav,enrique canta mal,s204
/home/sashreekkumar/Documents/environment/humanai/dataset/nonnative-f-mic2-152-42-66-3.3-djg6693/s16.wav,hola qué tal,s16
/home/sashreekkumar/Documents/environment/humanai/dataset/nonnative-f-mic2-152-42-66-3.3-djg6693/s13.wav,buenos días,s13
/home/sashreekkumar/Documents/environment/humanai/dataset/nonnative-f-mic2-152-42-66-3.3-djg6693/s148.wav,a qué hora sale el avión,s148
/home/sashreekkumar/Documents/environment/humanai/dataset/nonnative-f-mic2-152-42-66-3.3-djg6693/s74.wav,siempre se despierta a las cinco y media,s74
/home/sashreekkumar/Documents/environment/humanai/dataset/nonnative-f-mic2-152-42-66-3.3-djg6693/s201.wav,viven aquí desde los años setenta,s201
/home/sashreekkumar/Documents/environment/humanai/dataset/nonnative-f-mic2-152-42-66-3.3-djg6693/s8.wav,dónde está el banco,s8
/home/sashreekkumar/Documents/environment/humanai/dataset/nonnative-f-mic2-152-42-66-3.3-djg6693/s78.wav,cuántos años tendrá,s78
/home/sashreekkumar/Documents/environment/humanai/dataset/nonnative-f-mic2-152-42-66-3.3-djg6693/s11.wav,dónde está el baño,s11
/home/sashreekkumar/Documents/environment/humanai/dataset/nonnative-f-mic2-152-42-66-3.3-djg6693/s79.wav,llámame cuando puedas,s79
/home/sashreekkumar/Documents/environment/humanai/dataset/nonnative-f-mic2-152-42-66-3.3-djg6693/s68.wav,me duele el brazo,s68
/home/sashreekkumar/Documents/environment/humanai/dataset/nonnative-f-mic2-152-42-66-3.3-djg6693/s67.wav,tienes fiebre,s67
/home/sashreekkumar/Documents/environment/humanai/dataset/nonnative-f-mic2-152-42-66-3.3-djg6693/s157.wav,pon los platos en el fregadero,s157
/home/sashreekkumar/Documents/environment/humanai/dataset/nonnative-f-mic2-152-42-66-3.3-djg6693/s26.wav,una tortilla de patatas por favor,s26
/home/sashreekkumar/Documents/environment/humanai/dataset/nonnative-f-mic2-152-42-66-3.3-djg6693/s40.wav,cuál es la fecha de hoy,s40
/home/sashreekkumar/Documents/environment/humanai/dataset/nonnative-f-mic2-152-42-66-3.3-djg6693/s141.wav,más despacio por favor,s141
/home/sashreekkumar/Documents/environment/humanai/dataset/nonnative-f-mic2-152-42-66-3.3-djg6693/s147.wav,el tren llegará retrasado,s147
/home/sashreekkumar/Documents/environment/humanai/dataset/nonnative-f-mic2-152-42-66-3.3-djg6693/s162.wav,si tienes tiempo podrás limpiar tu cuarto,s162
/home/sashreekkumar/Documents/environment/humanai/dataset/nonnative-f-mic2-152-42-66-3.3-djg6693/s191.wav,me gradué de la universidad católica,s191
/home/sashreekkumar/Documents/environment/humanai/dataset/nonnative-f-mic2-152-42-66-3.3-djg6693/s128.wav,es imposible que no hayan llegado,s128
/home/sashreekkumar/Documents/environment/humanai/dataset/nonnative-f-mic2-152-42-66-3.3-djg6693/s76.wav,la cuenta por favor,s76
/home/sashreekkumar/Documents/environment/humanai/dataset/nonnative-f-mic2-152-42-66-3.3-djg6693/s142.wav,me puede ayudar,s142
/home/sashreekkumar/Documents/environment/humanai/dataset/nonnative-f-mic2-152-42-66-3.3-djg6693/s183.wav,tienes un diploma,s183
/home/sashreekkumar/Documents/environment/humanai/dataset/nonnative-f-mic2-152-42-66-3.3-djg6693/s105.wav,ella estuvo en caracas dos veces,s105
/home/sashreekkumar/Documents/environment/humanai/dataset/nonnative-f-mic2-152-42-66-3.3-djg6693/s1.wav,vivo en una casa,s1
/home/sashreekkumar/Documents/environment/humanai/dataset/nonnative-f-mic2-152-42-66-3.3-djg6693/s54.wav,qué tiempo hace,s54
/home/sashreekkumar/Documents/environment/humanai/dataset/nonnative-f-mic2-152-42-66-3.3-djg6693/s110.wav,conoces un buen restaurante,s110
/home/sashreekkumar/Documents/environment/humanai/dataset/nonnative-f-mic2-152-42-66-3.3-djg6693/s205.wav,me da lo mismo,s205
